2021-11-26 21:08:33,614 - 
=============================================================================================================================
batch_size                                        : 64                            
device                                            : cuda                          
eval_quali_crsp_n_grids                           : 10                            
eval_quali_rec_n                                  : 1000                          
freq_step_chkpt                                   : 100000                        
freq_step_eval_quali                              : 500                           
freq_step_log                                     : 100                           
gpu_ids                                           : 0                             
lambda_2latent_om                                 : 1000.0                        
lambda_2latent_recon                              : 1000.0                        
lambda_2latent_unif                               : 10.0                          
lambda_2sector_om                                 : 1.0                           
lambda_2sector_recon                              : 1.0                           
lambda_2sector_unif                               : 10.0                          
learning_rate                                     : 0.0001                        
load_from                                         : -1                            
rand_seed                                         : 1678                          
steps                                             : 100000                        
=============================================================================================================================
2021-11-26 21:08:33,615 - Network[F] total number of parameters: 1.053 M. 
2021-11-26 21:08:33,616 - Network[Enc] total number of parameters: 1.055 M. 
2021-11-26 21:08:33,616 - Network[LogDet] total number of parameters: 0.000 M. 
2021-11-26 21:08:35,249 - epoch[0  ], batch[-1 ], step[99 ], iter[-1 ] ---> loss_2sector_recon:  0.0808; loss_2sector_om:  0.0000; loss_2sector_unif:  2.4917; loss_2latent_recon:  0.1262; loss_2latent_om:  0.0018; loss_2latent_unif:  2.4772; t_io:  0.0000; t_opt:  1.6243; 
2021-11-26 21:08:36,728 - epoch[0  ], batch[-1 ], step[199], iter[-1 ] ---> loss_2sector_recon:  0.1443; loss_2sector_om:  0.0000; loss_2sector_unif:  0.3940; loss_2latent_recon:  0.0981; loss_2latent_om:  0.0028; loss_2latent_unif:  0.2650; t_io:  0.0000; t_opt:  1.4637; 
2021-11-26 21:08:38,201 - epoch[0  ], batch[-1 ], step[299], iter[-1 ] ---> loss_2sector_recon:  0.0962; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1225; loss_2latent_recon:  0.0960; loss_2latent_om:  0.0028; loss_2latent_unif:  0.0394; t_io:  0.0000; t_opt:  1.4628; 
2021-11-26 21:08:39,678 - epoch[0  ], batch[-1 ], step[399], iter[-1 ] ---> loss_2sector_recon:  0.0907; loss_2sector_om:  0.0000; loss_2sector_unif:  0.0966; loss_2latent_recon:  0.0592; loss_2latent_om:  0.0004; loss_2latent_unif:  0.0081; t_io:  0.0000; t_opt:  1.4696; 
2021-11-26 21:08:41,169 - epoch[0  ], batch[-1 ], step[499], iter[-1 ] ---> loss_2sector_recon:  0.0720; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1115; loss_2latent_recon:  0.0474; loss_2latent_om:  0.0003; loss_2latent_unif:  0.0976; t_io:  0.0000; t_opt:  1.4858; 
2021-11-26 21:08:43,136 - epoch[0  ], batch[-1 ], step[599], iter[-1 ] ---> loss_2sector_recon:  0.0209; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2586; loss_2latent_recon:  0.0323; loss_2latent_om:  0.0007; loss_2latent_unif:  0.2838; t_io:  0.0000; t_opt:  1.4644; 
2021-11-26 21:08:44,646 - epoch[0  ], batch[-1 ], step[699], iter[-1 ] ---> loss_2sector_recon:  0.0153; loss_2sector_om:  0.0000; loss_2sector_unif:  0.3380; loss_2latent_recon:  0.0129; loss_2latent_om:  0.0020; loss_2latent_unif:  0.3400; t_io:  0.0000; t_opt:  1.5002; 
2021-11-26 21:08:46,148 - epoch[0  ], batch[-1 ], step[799], iter[-1 ] ---> loss_2sector_recon:  0.0115; loss_2sector_om:  0.0000; loss_2sector_unif:  0.3505; loss_2latent_recon:  0.0133; loss_2latent_om:  0.0023; loss_2latent_unif:  0.3272; t_io:  0.0000; t_opt:  1.4940; 
2021-11-26 21:08:47,654 - epoch[0  ], batch[-1 ], step[899], iter[-1 ] ---> loss_2sector_recon:  0.0136; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2817; loss_2latent_recon:  0.0174; loss_2latent_om:  0.0021; loss_2latent_unif:  0.2847; t_io:  0.0000; t_opt:  1.4971; 
2021-11-26 21:08:49,160 - epoch[0  ], batch[-1 ], step[999], iter[-1 ] ---> loss_2sector_recon:  0.0111; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2930; loss_2latent_recon:  0.0122; loss_2latent_om:  0.0025; loss_2latent_unif:  0.2983; t_io:  0.0000; t_opt:  1.4962; 
2021-11-26 21:08:51,066 - epoch[0  ], batch[-1 ], step[1099], iter[-1 ] ---> loss_2sector_recon:  0.0108; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2206; loss_2latent_recon:  0.0132; loss_2latent_om:  0.0028; loss_2latent_unif:  0.3199; t_io:  0.0000; t_opt:  1.4473; 
2021-11-26 21:08:52,545 - epoch[0  ], batch[-1 ], step[1199], iter[-1 ] ---> loss_2sector_recon:  0.0097; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2441; loss_2latent_recon:  0.0173; loss_2latent_om:  0.0012; loss_2latent_unif:  0.2996; t_io:  0.0000; t_opt:  1.4702; 
2021-11-26 21:08:54,022 - epoch[0  ], batch[-1 ], step[1299], iter[-1 ] ---> loss_2sector_recon:  0.0108; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2434; loss_2latent_recon:  0.0139; loss_2latent_om:  0.0036; loss_2latent_unif:  0.2680; t_io:  0.0000; t_opt:  1.4670; 
2021-11-26 21:08:55,503 - epoch[0  ], batch[-1 ], step[1399], iter[-1 ] ---> loss_2sector_recon:  0.0105; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2524; loss_2latent_recon:  0.0115; loss_2latent_om:  0.0009; loss_2latent_unif:  0.2877; t_io:  0.0000; t_opt:  1.4722; 
2021-11-26 21:08:56,977 - epoch[0  ], batch[-1 ], step[1499], iter[-1 ] ---> loss_2sector_recon:  0.0081; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2666; loss_2latent_recon:  0.0123; loss_2latent_om:  0.0024; loss_2latent_unif:  0.2923; t_io:  0.0000; t_opt:  1.4619; 
2021-11-26 21:08:58,910 - epoch[0  ], batch[-1 ], step[1599], iter[-1 ] ---> loss_2sector_recon:  0.0066; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2723; loss_2latent_recon:  0.0105; loss_2latent_om:  0.0004; loss_2latent_unif:  0.2844; t_io:  0.0000; t_opt:  1.4274; 
2021-11-26 21:09:00,440 - epoch[0  ], batch[-1 ], step[1699], iter[-1 ] ---> loss_2sector_recon:  0.0074; loss_2sector_om:  0.0000; loss_2sector_unif:  0.3136; loss_2latent_recon:  0.0141; loss_2latent_om:  0.0010; loss_2latent_unif:  0.3193; t_io:  0.0000; t_opt:  1.5213; 
2021-11-26 21:09:01,978 - epoch[0  ], batch[-1 ], step[1799], iter[-1 ] ---> loss_2sector_recon:  0.0084; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2412; loss_2latent_recon:  0.0129; loss_2latent_om:  0.0025; loss_2latent_unif:  0.3020; t_io:  0.0000; t_opt:  1.5287; 
2021-11-26 21:09:03,518 - epoch[0  ], batch[-1 ], step[1899], iter[-1 ] ---> loss_2sector_recon:  0.0077; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2584; loss_2latent_recon:  0.0125; loss_2latent_om:  0.0019; loss_2latent_unif:  0.2513; t_io:  0.0000; t_opt:  1.5264; 
